"","TAXA_ID","CLASS","FAMILY","FFG","FFG_WSA","GENUS","HABIT","HABIT_WSA","ITISTSN","NON_TARGET","ORDER","OTU_NRSA","OTU_NRSA_CODE","PHYLUM","PTV","PTV_WSA","SUBFAMILY","TARGET_TAXON","TRIBE","VOLTINISM","PUBLICATION_DATE"
"135",3539,"INSECTA","NOTONECTIDAE","PR",NA,"BUENOA","SW",NA,"103583","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"BUENOA",NA,"grthan1,1",2020-01-29
"155",3559,"INSECTA","CECIDOMYIIDAE",NA,NA,NA,NA,NA,"122975","Y","DIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"CECIDOMYIIDAE",NA,NA,2020-01-29
"158",3562,"INSECTA","CORIXIDAE",NA,NA,"CENOCORIXA","SW",NA,"103501","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",NA,NA,NA,"CENOCORIXA",NA,NA,2020-01-29
"211",3615,"INSECTA","CORIXIDAE","PR",NA,"CORISELLA","SW",NA,"103484","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",8,NA,NA,"CORISELLA",NA,NA,2020-01-29
"212",3616,"INSECTA","CORIXIDAE","PR",NA,NA,"SW",NA,"103364","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",8.1,NA,NA,"CORIXIDAE",NA,"grthan1",2020-01-29
"343",3747,"INSECTA","GERRIDAE","PR",NA,NA,"SK",NA,"103801","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"GERRIDAE",NA,"1",2020-01-29
"362",3766,"INSECTA","CORIXIDAE","PR",NA,"GRAPTOCORIXA","SW",NA,"103547","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",8,NA,NA,"GRAPTOCORIXA",NA,"grthan1",2020-01-29
"396",3800,"INSECTA",NA,"PR",NA,NA,"CB",NA,"103359","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"HEMIPTERA",NA,NA,2020-01-29
"400",3804,"INSECTA","CORIXIDAE","PI",NA,"HESPEROCORIXA","SW",NA,"103444","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",NA,NA,NA,"HESPEROCORIXA",NA,"1",2020-01-29
"436",3840,"INSECTA","HYDROMETRIDAE","PR",NA,"HYDROMETRA","SK",NA,"103939","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"HYDROMETRA",NA,"grthan1",2020-01-29
"525",3929,"INSECTA","GERRIDAE","PR",NA,"LIMNOPORUS","SK",NA,"103872","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",5,NA,NA,"LIMNOPORUS",NA,"1",2020-01-29
"556",3960,"INSECTA","NOTONECTIDAE","PR",NA,"MARTAREGA","SW",NA,"103599","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"MARTAREGA",NA,NA,2020-01-29
"565",3969,"INSECTA","HEBRIDAE","PR",NA,"MERRAGATA","SK",NA,"103983","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"MERRAGATA",NA,"grthan1",2020-01-29
"568",3972,"INSECTA","MESOVELIIDAE","PR",NA,"MESOVELIA","CB,SK",NA,"103954","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"MESOVELIA",NA,"grthan1",2020-01-29
"579",3983,"INSECTA","VELIIDAE","PR",NA,"MICROVELIA","SK",NA,"103900","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",6,NA,NA,"MICROVELIA",NA,"grthan1",2020-01-29
"594",3998,"INSECTA","MYCETOPHILIDAE",NA,NA,NA,NA,NA,"121636","Y","DIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"MYCETOPHILIDAE",NA,NA,2020-01-29
"642",4046,"INSECTA","NOTONECTIDAE","PR",NA,"NOTONECTA","CB, SW",NA,"103558","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",10,NA,NA,"NOTONECTA",NA,"grthan1",2020-01-29
"643",4047,"INSECTA","NOTONECTIDAE","PR",NA,NA,"SW",NA,"103557","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",7,NA,NA,"NOTONECTIDAE",NA,"grthan1",2020-01-29
"689",4093,"INSECTA","CORIXIDAE","PR",NA,"PALMACORIXA","SW",NA,"103491","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",6,NA,NA,"PALMACORIXA",NA,"grthan1",2020-01-29
"834",4238,"INSECTA","CORIXIDAE","PR",NA,"RAMPHOCORIXA","SW",NA,"103365","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",NA,NA,NA,"RAMPHOCORIXA",NA,"grthan1",2020-01-29
"839",4243,"INSECTA","VELIIDAE","PR",NA,"RHAGOVELIA","SK",NA,"103886","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",7.3,NA,NA,"RHAGOVELIA",NA,"1",2020-01-29
"844",4248,"INSECTA","GERRIDAE","PR",NA,"RHEUMATOBATES","SK",NA,"103802","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",6,NA,NA,"RHEUMATOBATES",NA,"1",2020-01-29
"857",4261,"INSECTA","SALDIDAE","PR",NA,NA,"CB",NA,"104063","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",9.4,NA,NA,"SALDIDAE",NA,"grthan1",2020-01-29
"874",4278,"INSECTA","CORIXIDAE","PI",NA,"SIGARA","SW",NA,"103369","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",NA,NA,NA,"SIGARA",NA,NA,2020-01-29
"973",4377,"INSECTA","GERRIDAE","PR",NA,"TREPOBATES","CB, SK",NA,"103811","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"TREPOBATES",NA,"grthan1,1",2020-01-29
"977",4381,"INSECTA","CORIXIDAE","PR",NA,"TRICHOCORIXA","SW",NA,"103423","Y","HEMIPTERA","CORIXIDAE","OTU209","ARTHROPODA",6.4,NA,NA,"TRICHOCORIXA",NA,"grthan1",2020-01-29
"1007",4411,"INSECTA","VELIIDAE","PR",NA,NA,"SK",NA,"103885","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",8.5,NA,NA,"VELIIDAE",NA,"grthan1,1",2020-01-29
"1030",4439,"INSECTA","GERRIDAE","PR",NA,"AQUARIUS","SK",NA,"717547","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"AQUARIUS",NA,NA,2020-01-29
"1037",4447,"INSECTA","MACROVELIIDAE","PR",NA,"MACROVELIA","CB,SP",NA,"103991","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"MACROVELIA",NA,NA,2020-01-29
"1264",4771,"INSECTA","CICADELLIDAE",NA,NA,NA,NA,NA,"109171","Y","HEMIPTERA","DELETE",NA,"ARTHROPODA",NA,NA,NA,"CICADELLIDAE",NA,NA,2020-01-29
