"SampleN","StationID","BenSampID","RepNum","Collection Date","Sample Comments","Collected By","Field Team","Entered By","Taxonomist","Entered Date","Gradient","Target Count","Season"
3,"1ACON002.88","CON1769",1,2004-02-20 10:00:00,NA,"WILLIAMG SHANABRUCH","WS","WGS","WILLIAMG SHANABRUCH",2011-08-29 00:00:00,"MACS",200,"Spring"
2,"5ANTW098.82","NTW1516",1,2010-11-15 13:00:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2011-06-29 00:00:00,"MACS",200,"Fall"
2,"6CXEO000.25","XEO137",1,2009-10-22 09:35:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-05-03 00:00:00,"Riffle",200,"Fall"
2,"6AFRY006.70","FRY144",1,2009-10-01 11:35:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-05-04 00:00:00,"Riffle",200,"Fall"
2,"9-FXC017.18","FXC136R200",1,2009-11-24 13:16:00,NA,"LANNYL SPARKS","LLS","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
2,"6APAW001.22","PAW140",1,2009-10-07 11:50:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-05-04 00:00:00,"Riffle",200,"Fall"
2,"4AMCH000.53","MCH183",1,2009-11-02 11:30:00,NA,"GEORGEJ DEVLIN","gjd","RDM","RICHARD (DREW)D MILLER",2010-06-22 00:00:00,"Riffle",200,"Fall"
2,"6CLIB001.06","LIB138R200",1,2009-11-05 11:00:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
2,"6BXGD000.01","XGD141R200",1,2009-09-30 10:45:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2010-06-29 00:00:00,"Riffle",200,"Fall"
2,"2-WRD005.40","WRD160",1,2009-10-22 15:00:00,NA,"WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2010-06-11 00:00:00,"MACS",200,"Fall"
2,"2-BEV002.00","BEV173",1,2009-12-16 12:20:00,NA,"WARRENH SMIGO","WHS WGS","WHS","WARRENH SMIGO",2010-06-21 00:00:00,"MACS",200,"Outside Sample Window"
2,"4ASRE032.38","SRE1674",1,2010-09-22 12:30:00,"Boatable methods - do not use for 305(b) assessment.","GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2011-07-26 00:00:00,"Boatable",200,"Fall"
2,"2DAPP055.68","APP2280",1,2011-10-25 13:00:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2012-02-24 00:00:00,"Boatable",200,"Fall"
2,"1APOH008.54","POH1726",1,2011-03-03 11:30:00,"High flows all spring season","GREGW BROWN","WGB/JMC","WGB","GREGW BROWN",2011-08-17 00:00:00,"Riffle",200,"Spring"
2,"7-CMS002.00","CMS174R200",1,2009-11-03 10:30:00,NA,"WILLIAMG SHANABRUCH","WHS WGS","WHS","WARRENH SMIGO",2010-06-29 00:00:00,"MACS",200,"Fall"
2,"2-JKS018.68","JKS1652",1,2010-08-23 16:30:00,"Boatable methods - do not use for assessment","GEORGEJ DEVLIN","GJD","GJD","GEORGEJ DEVLIN",2011-07-24 00:00:00,"Boatable",200,"Fall"
2,"2-JKS006.67","JKS3636",1,2011-08-24 10:30:00,NA,"GEORGEJ DEVLIN","gjd","RDM","RICHARD (DREW)D MILLER",2013-01-29 00:00:00,"Boatable",200,"Fall"
2,"8-PMK092.12","PMK1517",1,2010-10-06 14:00:00,"Composite sample from transects using non-wadeable river method","WILLIAMG SHANABRUCH","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2011-06-29 00:00:00,"Boatable",200,"Fall"
2,"8-MPN043.76","MPN2616",1,2011-10-26 11:00:00,NA,"WARRENH SMIGO","WHS, WGS","WGS","WILLIAMG SHANABRUCH",2012-03-22 00:00:00,"Boatable",200,"Fall"
2,"2-JKS023.61","JKS1354",1,2010-08-23 11:00:00,NA,"GEORGEJ DEVLIN","GJD, MH","GJD","GEORGEJ DEVLIN",2020-07-30 17:19:58,"Boatable",200,"Fall"
2,"2-JKS023.61","JKS2779",1,2011-08-23 09:45:00,NA,"GEORGEJ DEVLIN","RB, JH","GJD","GEORGEJ DEVLIN",2012-07-16 00:00:00,"Boatable",200,"Fall"
2,"2-JKS018.68","JKS2780",1,2011-08-23 16:30:00,NA,"GEORGEJ DEVLIN","RGB","GJD","GEORGEJ DEVLIN",2012-07-16 00:00:00,"Boatable",200,"Fall"
2,"2-JKS006.67","JKS6838",1,2014-08-27 10:30:00,NA,"RICHARD (DREW)D MILLER","MRD","RDM","RICHARD (DREW)D MILLER",2015-07-16 00:00:00,"Boatable",200,"Fall"
2,"9-LRV012.98","LRV6852",1,2014-10-28 14:00:00,NA,"GEORGEJ DEVLIN","GJD","RDM","RICHARD (DREW)D MILLER",2015-07-16 00:00:00,"Boatable",200,"Fall"
2,"2-JKS023.61","JKS6705",1,2014-08-26 11:25:00,NA,"RICHARD (DREW)D MILLER","GJD","RDM","RICHARD (DREW)D MILLER",2015-05-11 00:00:00,"Boatable",200,"Fall"
2,"6BPWL020.93","PWL5063",1,2013-10-10 13:00:00,NA,"LANNYL SPARKS","REC","LLS","LANNYL SPARKS",2014-02-25 00:00:00,"Riffle",200,"Fall"
2,"2-JKS018.68","JKS5039",1,2013-08-22 17:00:00,NA,"GEORGEJ DEVLIN","GJD","RDM","RICHARD (DREW)D MILLER",2014-02-19 00:00:00,"Boatable",200,"Fall"
