Sample,OTU,Count,Model_Jul04,OTU_CODE
00001CSR,Baetis,10,N,B21
00001CSR,Chironominae,75,N,B37
00001CSR,Cinygma,3,N,B39
00001CSR,Despaxia,1,N,B54
00001CSR,Isoperla,2,N,B118
00001CSR,Lara,12,N,B124
00001CSR,Lepidostoma,3,N,B125
00001CSR,Leptophlebiidae,7,N,B127
00001CSR,Limnophila,3,N,B131
00001CSR,Malenka,9,N,B134
00001CSR,Micrasema,1,N,B140
00001CSR,Oligochaeta,39,N,B156
00001CSR,Optioservus,1,N,B159
00001CSR,Orthocladiinae,15,N,B162
00001CSR,Simulium,2,N,B204
00001CSR,Sphaeriidae,76,N,B209
00001CSR,Sweltsa,29,N,B214
00001CSR,Tanypodinae,5,N,B217
00001CSR,Trombidiformes,1,N,B223
00001CSR,Zapada,8,N,B232
00001REM,Ampumixis,8,N,B10
00001REM,Arctopsyche,8,N,B15
00001REM,Attenella,1,N,B20
00001REM,Baetis,126,N,B21
00001REM,Calineuria,3,N,B27
00001REM,Ceratopogoninae,1,N,B33
00001REM,Chironominae,36,N,B37
00001REM,Despaxia,2,N,B54
00001REM,Dicranota,3,N,B58
00001REM,Drunella_coloradensis/flavilinea,4,N,B66
00001REM,Drunella_doddsi,8,N,B67
00001REM,Epeorus,75,N,B77
00001REM,Glossosoma,23,N,B89
00001REM,Glutops,3,N,B90
00001REM,Gomphidae,1,N,B92
00001REM,Hesperoperla,6,N,B103
00001REM,Heterlimnius,5,N,B104
00001REM,Hydropsyche,3,N,B114
00001REM,Ironodes,3,N,B116
00001REM,Juga,4,N,B119
00001REM,Leptophlebiidae,5,N,B127
00001REM,Malenka,10,N,B134
00001REM,Maruina,1,N,B136
00001REM,Micrasema,8,N,B140
00001REM,Nematoda,6,N,B146
00001REM,Neophylax,1,N,B149
00001REM,Oligochaeta,9,N,B156
00001REM,Optioservus,4,N,B159
00001REM,Ordobrevia,4,N,B160
00001REM,Orthocladiinae,23,N,B162
00001REM,Paraperla,1,N,B165
00001REM,Rhithrogena,91,N,B197
00001REM,Rhyacophila,34,N,B199
00001REM,Serratella,8,N,B200
00001REM,Simulium,7,N,B204
00001REM,Trombidiformes,1,N,B223
00001REM,Wormaldia,20,N,B229
00001REM,Yoraperla,1,N,B230
00001REM,Zaitzevia,9,N,B231
00001REM,Zapada,1,N,B232
00001WSE,Ameletus,14,C,B6
00001WSE,Anagapetus,1,C,B12
00001WSE,Baetis,1,C,B21
00001WSE,Capniidae,3,C,B30
00001WSE,Caudatella,24,C,B31
00001WSE,Chelifera,2,C,B34
00001WSE,Chironominae,5,C,B37
00001WSE,Cinygma,2,C,B39
00001WSE,Cinygmula,48,C,B40
00001WSE,Clinocera,1,C,B43
00001WSE,Diamesinae,12,C,B56
00001WSE,Dicranota,1,C,B58
00001WSE,Dixa,8,C,B61
00001WSE,Drunella_coloradensis/flavilinea,2,C,B66
00001WSE,Drunella_doddsi,2,C,B67
00001WSE,Ecclisocosmoecus,2,C,B73
00001WSE,Epeorus,1,C,B77
00001WSE,Ephemerella,44,C,B78
00001WSE,Glutops,1,C,B90
00001WSE,Hesperoconopa,1,C,B102
00001WSE,Ironodes,4,C,B116
00001WSE,Leptophlebiidae,11,C,B127
00001WSE,Nematoda,22,C,B146
00001WSE,Nemoura,1,C,B148
00001WSE,Neothremma,1,C,B150
00001WSE,Oligochaeta,15,C,B156
00001WSE,Orthocladiinae,49,C,B162
00001WSE,Parapsyche,4,C,B166
00001WSE,Pericoma/Telmatoscopus,1,C,B169
00001WSE,Podonominae,1,C,B177
00001WSE,Rhithrogena,12,C,B197
00001WSE,Rhyacophila,87,C,B199
00001WSE,Setvena,1,C,B201
00001WSE,Sweltsa,17,C,B214
00001WSE,Taeniopterygidae,1,C,B216
00001WSE,Thaumaleidae,1,C,B218
00001WSE,Trombidiformes,12,C,B223
00001WSE,Turbellaria,13,C,B225
00001WSE,Visoka,2,C,B227
00001WSE,Yoraperla,64,C,B230
00001WSE,Zapada,89,C,B232
00002CSR,Ameletus,3,N,B6
00002CSR,Antocha,2,N,B13
00002CSR,Apatania,2,N,B14
00002CSR,Baetis,104,N,B21
00002CSR,Calineuria,1,N,B27
00002CSR,Ceratopogoninae,1,N,B33
00002CSR,Chironominae,22,N,B37
00002CSR,Cinygmula,40,N,B40
00002CSR,Clinocera,3,N,B43
00002CSR,Diphetor_hageni,10,N,B59
00002CSR,Drunella_coloradensis/flavilinea,2,N,B66
00002CSR,Drunella_doddsi,15,N,B67
00002CSR,Epeorus,97,N,B77
00002CSR,Glossosoma,7,N,B89
00002CSR,Helicopsychidae,9,N,B98
00002CSR,Hesperoperla,6,N,B103
00002CSR,Heterlimnius,10,N,B104
00002CSR,Kogotus,1,N,B121
00002CSR,Leptophlebiidae,3,N,B127
00002CSR,Malenka,11,N,B134
00002CSR,Narpus,4,N,B145
00002CSR,Neophylax,3,N,B149
00002CSR,Oligochaeta,3,N,B156
00002CSR,Orthocladiinae,15,N,B162
