"n","BioComment","JRH_Final_Ref_Cod","DataSource","UID"
2,"PRO","Int","VDEQ_BUG","1ACON002.88"
2,"PRO","Ref","VDEQ_BUG","1ACON002.88"
2,"PRO","Int","VDEQ_BUG","1ACOW000.38"
2,"PRO","Int","VDEQ_BUG","1ACOW000.38"
2,"NRO","Str","VDEQ_BUG","1AFOU002.06"
2,"NRO","Str","VDEQ_BUG","1AFOU002.06"
2,"PRO","Ref","VDEQ_BUG","1ALIS007.07"
2,"PRO","Str","VDEQ_BUG","1ALIS007.07"
2,"PRO","Str","VDEQ_BUG","1AMRC003.74"
2,"PRO","Str","VDEQ_BUG","1AMRC003.74"
2,"NRO","Str","VDEQ_BUG","1AXOR000.47"
2,"NRO","Str","VDEQ_BUG","1AXOR000.47"
2,"PRO","Ref","VDEQ_BUG","2-BEV002.00"
2,"PRO","Str","VDEQ_BUG","2-BEV002.00"
2,"PRO","Int","VDEQ_BUG","2-BLB002.23"
2,"PRO","Ref","VDEQ_BUG","2-BLB002.23"
3,"PRO","Int","VDEQ_BUG","2-BLY005.73"
3,"PRO","Ref","VDEQ_BUG","2-BLY005.73"
3,"PRO","Str","VDEQ_BUG","2-BLY005.73"
2,"PRO","Int","VDEQ_BUG","2-CEL004.03"
2,"PRO","Str","VDEQ_BUG","2-CEL004.03"
2,"PRO","Int","VDEQ_BUG","2-CHK052.57"
2,"PRO","Ref","VDEQ_BUG","2-CHK052.57"
2,"PRO","Int","VDEQ_BUG","2-CRT001.00"
2,"PRO","Ref","VDEQ_BUG","2-CRT001.00"
2,"PRO","Str","VDEQ_BUG","2-GIL000.42"
2,"PRO","Str","VDEQ_BUG","2-GIL000.42"
2,"PRO","Int","VDEQ_BUG","2-GRB006.96"
2,"PRO","Ref","VDEQ_BUG","2-GRB006.96"
2,"PRO","Int","VDEQ_BUG","2-GUN004.00"
2,"PRO","Str","VDEQ_BUG","2-GUN004.00"
2,"PRO","Int","VDEQ_BUG","2-JOD001.96"
2,"PRO","Ref","VDEQ_BUG","2-JOD001.96"
2,"PRO","Int","VDEQ_BUG","2-OTC001.54"
2,"PRO","Int","VDEQ_BUG","2-OTC001.54"
2,"PRO","Ref","VDEQ_BUG","2-RGH000.35"
2,"SCRO","Ref","VDEQ_BUG","2-RGH000.35"
2,"PRO","Int","VDEQ_BUG","2-RHC000.58"
2,"PRO","Str","VDEQ_BUG","2-RHC000.58"
2,"PRO","Int","VDEQ_BUG","2-SMN002.19"
2,"PRO","Int","VDEQ_BUG","2-SMN002.19"
2,"PRO","Int","VDEQ_BUG","2-WRD005.40"
2,"PRO","Ref","VDEQ_BUG","2-WRD005.40"
2,"PRO","Str","VDEQ_BUG","2CCHK038.53"
2,"PRO","Str","VDEQ_BUG","2CCHK038.53"
2,"PRO","Str","VDEQ_BUG","2CJOP000.34"
2,"PRO","Str","VDEQ_BUG","2CJOP000.34"
2,"PRO","Int","VDEQ_BUG","2CSLM002.56"
2,"PRO","Ref","VDEQ_BUG","2CSLM002.56"
2,"PRO","Int","VDEQ_BUG","2CWRD005.82"
2,"PRO","Ref","VDEQ_BUG","2CWRD005.82"
2,"PRO","Int","VDEQ_BUG","3-BLD001.54"
2,"PRO","Ref","VDEQ_BUG","3-BLD001.54"
2,"PRO","Int","VDEQ_BUG","3-BMS002.00"
2,"PRO","Ref","VDEQ_BUG","3-BMS002.00"
2,"NRO","Str","VDEQ_BUG","3-LIA003.14"
2,"NRO","Str","VDEQ_BUG","3-LIA003.14"
2,"NRO","Int","VDEQ_BUG","3-MAP002.61"
2,"NRO","Ref","VDEQ_BUG","3-MAP002.61"
2,"PRO","Ref","VDEQ_BUG","3-MTL006.47"
2,"PRO","Str","VDEQ_BUG","3-MTL006.47"
2,"PRO","Int","VDEQ_BUG","3-NIC000.38"
2,"PRO","Ref","VDEQ_BUG","3-NIC000.38"
2,"PRO","Int","VDEQ_BUG","3-PIS008.15"
2,"PRO","Ref","VDEQ_BUG","3-PIS008.15"
2,"PRO","Ref","VDEQ_BUG","3-RUN000.13"
