BioComment,JRH_Final_Ref_Cod,DataSource,StationID,UID,Latitude,Longitude,Sta_Desc,US_L3CODE,US_L3NAME,US_L4CODE,US_L4NAME,VAHU6,ASSESS_REG,OFFICE_NM,VaName,Tidal,VAHUSB,FedName,HUC10,Basin,BASIN_CODE,Basin_Code,CountyCityName,FIPS,BASINS_HUC_12,WQS_ID,WQS_CLASS,WQS_SPSTDS,WQS_PWS,WQS_TROUT,WQS_TIER_III,Order,totalArea_sqMile,ELEVMIN,ELEVMAX,ELEVMEAN,ELEVSD,ELEVRANGE,SLPMIN,SLPMAX,SLPMEAN,SLPSD,SLPRANGE,wshdRain_mmyr,siteRain_mmyr,wshdRain_inyr,siteRain_inyr,wshedRain_inyr
,Str,VDEQ_BUG,2-BIO000.45,,37.60972222,-78.2075,Bigger Creek @ rt 615,45,Piedmont,45f,Northern Outer Piedmont,JM70,PRO,Piedmont,Willis River-Trice Lake,N,JM,Trice Lake-Willis River,0208020503,James River Basin,2B,James-Middle,Cumberland,049,020802050303,RL_2B_159578,III, ,,,,,,,,,,,,,,,,,,,,
,Str,VDEQ_BUG,4ABDB000.75,,36.87777778,-79.05416667,Bradley Cr @ rt 628,45,Piedmont,45e,Northern Inner Piedmont,RD62,BRRO,Blue Ridge,Banister River-Bye Creek,N,RD,Bye Creek-Banister River,0301010502,Roanoke River Basin,4A,Roanoke,Halifax,083,030101050207,RL_4A_095396,III,PWS,Yes,,,,,,,,,,,,,,,,,,,
,Str,VDEQ_BUG,4ABDB004.35,4ABDB004.35_2012,36.90558333,-79.04608333,Bradley Ck north of 621,45,Piedmont,45e,Northern Inner Piedmont,RD62,BRRO,Blue Ridge,Banister River-Bye Creek,N,RD,Bye Creek-Banister River,0301010502,Roanoke River Basin,4A,Roanoke,Halifax,083,030101050207,,,,,,,2,3.732498956,121,205,171.137189,17.06834199,84,0,18.57048607,5.094912209,2.836967765,18.57048607,1097.29,1097.29,43.20041703,43.20041703,
,Str,VDEQ_BUG,4ABHB011.31,,36.727947,-78.4504,upstream of Mecklenburg Co landfill,45,Piedmont,45c,Carolina Slate Belt,RL07,BRRO,Blue Ridge,Butcher Creek/John H Kerr Reservoir,N,RL,Butcher Creek,0301010209,Roanoke River Basin,4A,Roanoke,Mecklenburg,117,030101020904,RL_4A_130446,III,PWS,Yes,,,,,,,,,,,,,,,,,,,
,Str,VDEQ_BUG,4ABKN000.52,,36.77694444,-79.45916667,Bearskin Cr. @ rt 703 Tight Sqz. Rd,45,Piedmont,45e,Northern Inner Piedmont,RD53,BRRO,Blue Ridge,Bearskin Creek,N,RD,Bearskin Creek,0301010501,Roanoke River Basin,4A,Roanoke,Pittsylvania,143,030101050102,RL_4A_082892,III,PWS,Yes,,,,,,,,,,,,,,,,,,,
,Str,VDEQ_BUG,4ABMA005.64,,36.60051944,-78.66453889,Buffalo Ck upstrm of Hicks Sp Br Rte 735,45,Piedmont,45c,Carolina Slate Belt,RD77,BRRO,Blue Ridge,Dan River/John H Kerr Reservoir-Buffalo Creek,N,RD,Buffalo Creek-Dan River,0301010407,Roanoke River Basin,4A,Roanoke,Mecklenburg,117,030101040704,RL_4A_097996,III,PWS,Yes,,,,,,,,,,,,,,,,,,,
,Str,VDEQ_BUG,4ABNN002.17,4ABNN002.17_2012,36.79988889,-78.63827778,Buffalo Creek upstream of 608,45,Piedmont,45c,Carolina Slate Belt,RU87,BRRO,Blue Ridge,Roanoke River-John H Kerr Reservoir-Buffalo Creek,N,RU,Sandy Creek-Roanoke River,0301010206,Roanoke River Basin,4A,Roanoke,Charlotte,037,030101020601,RL_4A_099980,III,PWS,Yes,,,2,2.381708416,106,159,130.4891992,10.7352489,53,0,11.08965778,2.9576582830000002,1.617944558,11.08965778,1085.44,1085.44,42.73388134,42.73388134,
,Str,VDEQ_BUG,4ABNN002.17,4ABNN002.17_2014,36.79988889,-78.63827778,Buffalo Creek upstream of 608,45,Piedmont,45c,Carolina Slate Belt,RU87,BRRO,Blue Ridge,Roanoke River-John H Kerr Reservoir-Buffalo Creek,N,RU,Sandy Creek-Roanoke River,0301010206,Roanoke River Basin,4A,Roanoke,Charlotte,037,030101020601,RL_4A_099980,III,PWS,Yes,,,2,2.381708416,106,159,130.4891992,10.7352489,53,0,11.08965778,2.9576582830000002,1.617944558,11.08965778,1085.44,1085.44,42.73388134,42.73388134,
,Str,VDEQ_BUG,4ABNN002.17,4ABNN002.17_2016,36.79988889,-78.63827778,Buffalo Creek upstream of 608,45,Piedmont,45c,Carolina Slate Belt,RU87,BRRO,Blue Ridge,Roanoke River-John H Kerr Reservoir-Buffalo Creek,N,RU,Sandy Creek-Roanoke River,0301010206,Roanoke River Basin,4A,Roanoke,Charlotte,037,030101020601,RL_4A_099980,III,PWS,Yes,,,2,2.381708416,106,159,130.4891992,10.7352489,53,0,11.08965778,2.9576582830000002,1.617944558,11.08965778,1085.44,1085.44,42.73388134,42.73388134,
,Str,VDEQ_BUG,4ABNN002.17,4ABNN002.17_2018,36.79988889,-78.63827778,Buffalo Creek upstream of 608,45,Piedmont,45c,Carolina Slate Belt,RU87,BRRO,Blue Ridge,Roanoke River-John H Kerr Reservoir-Buffalo Creek,N,RU,Sandy Creek-Roanoke River,0301010206,Roanoke River Basin,4A,Roanoke,Charlotte,037,030101020601,RL_4A_099980,III,PWS,Yes,,,2,2.381708416,106,159,130.4891992,10.7352489,53,0,11.08965778,2.9576582830000002,1.617944558,11.08965778,1085.44,1085.44,42.73388134,42.73388134,
